evt,cover_percent,percent
Alkaline Conifer-Hardwood Swamp,61,4
Alkaline Conifer-Hardwood Swamp,62,4
Alkaline Conifer-Hardwood Swamp,63,4
Alkaline Conifer-Hardwood Swamp,64,4
Alkaline Conifer-Hardwood Swamp,65,4
Alkaline Conifer-Hardwood Swamp,66,4
Alkaline Conifer-Hardwood Swamp,67,4
Alkaline Conifer-Hardwood Swamp,68,4
Alkaline Conifer-Hardwood Swamp,69,3
Alkaline Conifer-Hardwood Swamp,70,3
Alkaline Conifer-Hardwood Swamp,71,2
Alkaline Conifer-Hardwood Swamp,72,2
Alkaline Conifer-Hardwood Swamp,73,2
Alkaline Conifer-Hardwood Swamp,74,1
Alkaline Conifer-Hardwood Swamp,75,4
Alkaline Conifer-Hardwood Swamp,76,0
Alkaline Conifer-Hardwood Swamp,77,0
Alkaline Conifer-Hardwood Swamp,78,0
Alkaline Conifer-Hardwood Swamp,79,0
Alkaline Conifer-Hardwood Swamp,80,0
Alkaline Conifer-Hardwood Swamp,81,0
Alkaline Conifer-Hardwood Swamp,82,0
Alkaline Conifer-Hardwood Swamp,83,0
Alkaline Conifer-Hardwood Swamp,84,0
Alkaline Conifer-Hardwood Swamp,85,0
Alkaline Conifer-Hardwood Swamp,86,0
Alkaline Conifer-Hardwood Swamp,87,0
Alkaline Conifer-Hardwood Swamp,88,0
Alkaline Conifer-Hardwood Swamp,89,0
Alkaline Conifer-Hardwood Swamp,90,0
Alkaline Conifer-Hardwood Swamp,91,0
Alkaline Conifer-Hardwood Swamp,92,0
Alkaline Conifer-Hardwood Swamp,93,0
Alkaline Conifer-Hardwood Swamp,94,0
Alkaline Conifer-Hardwood Swamp,95,0
Alkaline Conifer-Hardwood Swamp,96,0
Alkaline Conifer-Hardwood Swamp,97,0
Alkaline Conifer-Hardwood Swamp,98,0
Alkaline Conifer-Hardwood Swamp,99,0
Alkaline Conifer-Hardwood Swamp,100,0
Conifer Acidic Swamp and Treed Poor Fen,0,0
Conifer Acidic Swamp and Treed Poor Fen,1,0
Conifer Acidic Swamp and Treed Poor Fen,2,0
Conifer Acidic Swamp and Treed Poor Fen,3,0
Conifer Acidic Swamp and Treed Poor Fen,4,0
Conifer Acidic Swamp and Treed Poor Fen,5,0
Conifer Acidic Swamp and Treed Poor Fen,6,0
Conifer Acidic Swamp and Treed Poor Fen,7,0
Conifer Acidic Swamp and Treed Poor Fen,8,0
Conifer Acidic Swamp and Treed Poor Fen,9,0
Conifer Acidic Swamp and Treed Poor Fen,10,0
Conifer Acidic Swamp and Treed Poor Fen,11,0
Conifer Acidic Swamp and Treed Poor Fen,12,0
Conifer Acidic Swamp and Treed Poor Fen,13,0
Conifer Acidic Swamp and Treed Poor Fen,14,0
Conifer Acidic Swamp and Treed Poor Fen,15,0
Conifer Acidic Swamp and Treed Poor Fen,16,0
Conifer Acidic Swamp and Treed Poor Fen,17,0
Conifer Acidic Swamp and Treed Poor Fen,18,0
Conifer Acidic Swamp and Treed Poor Fen,19,0
Conifer Acidic Swamp and Treed Poor Fen,20,0
Conifer Acidic Swamp and Treed Poor Fen,21,0
Conifer Acidic Swamp and Treed Poor Fen,22,0
Conifer Acidic Swamp and Treed Poor Fen,23,0
Conifer Acidic Swamp and Treed Poor Fen,24,0
Conifer Acidic Swamp and Treed Poor Fen,25,0
Conifer Acidic Swamp and Treed Poor Fen,26,0
Conifer Acidic Swamp and Treed Poor Fen,27,0
Conifer Acidic Swamp and Treed Poor Fen,28,0
Conifer Acidic Swamp and Treed Poor Fen,29,0
Conifer Acidic Swamp and Treed Poor Fen,30,0
Conifer Acidic Swamp and Treed Poor Fen,31,0
Conifer Acidic Swamp and Treed Poor Fen,32,0
Conifer Acidic Swamp and Treed Poor Fen,33,1
Conifer Acidic Swamp and Treed Poor Fen,34,1
Conifer Acidic Swamp and Treed Poor Fen,35,1
Conifer Acidic Swamp and Treed Poor Fen,36,1
Conifer Acidic Swamp and Treed Poor Fen,37,1
Conifer Acidic Swamp and Treed Poor Fen,38,1
Conifer Acidic Swamp and Treed Poor Fen,39,2
Conifer Acidic Swamp and Treed Poor Fen,40,2
Conifer Acidic Swamp and Treed Poor Fen,41,2
Conifer Acidic Swamp and Treed Poor Fen,42,2
Conifer Acidic Swamp and Treed Poor Fen,43,2
Conifer Acidic Swamp and Treed Poor Fen,44,3
Conifer Acidic Swamp and Treed Poor Fen,45,3
Conifer Acidic Swamp and Treed Poor Fen,46,3
